descriptor,split,negs,geom_noise,method,pr_auc,pr_ap,roc_auc
DOAP-HP-ST-LM-a,a,inter,easy,balanced,0.993608873168278,0.993608875786514,0.991839437924097
DOAP-HP-ST-LM-a,a,inter,easy,imbalanced,0.980737003662998,0.980737033744444,0.992027843546963
DOAP-HP-ST-LM-a,a,intra,easy,balanced,0.986328893690096,0.986328899732519,0.983185728083261
DOAP-HP-ST-LM-a,a,intra,easy,imbalanced,0.957270340139015,0.957270418327306,0.983458371103771
DOAP-HP-ST-LM-a,a,inter,hard,balanced,0.991887319985985,0.991887323335913,0.989699705956712
DOAP-HP-ST-LM-a,a,inter,hard,imbalanced,0.975283466438368,0.975283505310414,0.98980142283811
DOAP-HP-ST-LM-a,a,intra,hard,balanced,0.982710722498401,0.982710730490018,0.979036596795142
DOAP-HP-ST-LM-a,a,intra,hard,imbalanced,0.945651834061607,0.945651941176767,0.979193915278612
DOAP-HP-ST-LM-a,a,inter,tough,balanced,0.987709031192999,0.987709036383044,0.984670330267513
DOAP-HP-ST-LM-a,a,inter,tough,imbalanced,0.962529435728218,0.962529496773081,0.984973972504482
DOAP-HP-ST-LM-a,a,intra,tough,balanced,0.974441981612832,0.974441994347848,0.969529160345675
DOAP-HP-ST-LM-a,a,intra,tough,imbalanced,0.920554563618291,0.920554739093443,0.969924914234305
